RK,Name,Team,GP,G,A,PTS,"""+-""",PIM,PP,PPA,SH,SHA,GWG,SOG,S%,FO,FO%
112,"Kononenko, Yaroslav",STA,6,2,3,5,2,10,0,1,0,0,1,15,13.3,94,47.9
126,"Zouhar, Leo Samuel Moe",LIL,12,3,1,4,-4,10,0,1,0,0,0,14,21.4,3,33.3
126,"Bratlien, Ulrik Foss",LIL,13,2,2,4,2,8,0,0,0,0,0,11,18.2,0,0
126,"Liland, Sverre Lillevoll",FRI,4,1,3,4,-2,4,1,2,0,0,0,14,7.1,56,73.2
126,"Ruud, Heine Johan Solberg",KON,7,3,1,4,-1,4,0,0,0,0,0,5,60,38,31.6
126,"Cederquist, Johan Riise",VÅL,11,2,2,4,7,4,0,0,0,1,0,11,18.2,0,0
126,"Skirbekk, Tobias Joachim",KON,10,3,1,4,-1,2,0,0,0,0,1,36,8.3,5,40
126,"Paulsen, Henrik Hekk",MAN,10,2,2,4,0,2,0,0,0,0,0,9,22.2,149,45.6
126,"Nastad, Eirik Eriksen",KON,11,3,1,4,1,6,0,0,0,0,0,17,17.6,6,50
126,"Liu, Wuge",NID,8,2,2,4,-2,2,0,1,1,0,1,15,13.3,26,38.5
126,"Vestbø, Henrik",STA,6,1,3,4,1,6,0,0,0,0,0,16,6.3,0,0
126,"Thomassen, Mathias Mæland",STA,8,1,3,4,1,2,1,1,0,0,0,9,11.1,0,0
126,"Wessel, Daniel André",SPA,11,4,0,4,-1,0,0,0,0,0,1,16,25,6,33.3
126,"Svendsen, William Konding",STJ,12,0,4,4,-1,4,0,0,0,0,0,6,0,1,100
126,"Daul, Jonas",JAR,8,2,2,4,-11,2,0,1,0,0,1,16,12.5,13,53.8
126,"Melgaard, Noah Fonn",STA,10,2,2,4,9,6,0,0,0,0,0,14,14.3,0,0
126,"West, Henrik Stenrød",JAR,13,0,4,4,-19,4,0,1,0,0,0,11,0,0,0
126,"Bjørnstad, Bendik",STO,10,1,3,4,5,0,1,1,0,1,0,10,10,0,0
126,"Oliversen-Kvamme, Solan Jonathan",SPA,11,0,4,4,-4,14,0,0,0,0,0,4,0,0,0
126,"Myhre, Oliver Hesthagen",LØR,11,3,1,4,-9,0,0,0,0,0,1,25,12,69,53.6
145,"Bakken, Marius Tessem",KON,9,1,2,3,5,27,0,0,0,0,0,12,8.3,0,0
145,"Kvale, Brage",KON,11,1,2,3,-6,0,1,0,0,0,0,13,7.7,0,0
145,"Hasting, Herman Stokka",STA,14,1,2,3,4,2,0,0,0,0,0,14,7.1,3,33.3
145,"Mørk, Mads Henrik",KON,11,0,3,3,-4,4,0,0,0,0,0,7,0,84,39.3
145,"Knaben, Eskil",STA,7,2,1,3,0,29,1,0,0,0,0,13,15.4,34,44.1
145,"Jakobsen, Theodor Liam Strøm",LØR,2,2,1,3,3,2,0,0,0,0,0,10,20,32,59.4
145,"Johansen, Rio Rafael",STO,1,3,0,3,2,0,1,0,0,0,1,4,75,0,0
145,"Høyland, Ludvig",STA,2,1,2,3,-2,0,0,1,0,0,0,4,25,0,0
145,"Hande, Marius",SPA,11,0,3,3,-8,0,0,1,0,0,0,5,0,0,0
145,"Aasheim, Max Marinius",MAN,6,3,0,3,-5,8,1,0,0,0,0,20,15,16,56.3
145,"Hestbråten, Storm",KON,10,2,1,3,-5,4,0,0,0,0,0,14,14.3,0,0
145,"Biagi, Martin Felberg",KON,9,1,2,3,0,0,0,0,0,0,0,8,12.5,25,32
145,"Bie, Christian Markus",STJ,7,0,3,3,2,2,0,0,0,0,0,1,0,28,60.7
145,"Wisth, Johannes",NID,3,3,0,3,-1,6,2,0,0,0,1,9,33.3,0,0
145,"Vågø-Vassbotn, Mathias",NID,6,2,1,3,-4,2,1,1,0,0,0,20,10,102,59.8
145,"Jessesen, Teo Motzfeldt",SPA,10,2,1,3,-8,12,1,0,0,0,0,14,14.3,0,0
145,"Mordal, Daniel Nås",MAN,8,0,3,3,-2,6,0,0,0,0,0,10,0,4,50
145,"Brandt, Brian Gjerlid",STA,4,0,3,3,-3,2,0,1,0,0,0,8,0,0,0
145,"Myhrvold, Dennis Holmestad",LIL,9,1,2,3,-7,27,1,0,0,0,0,2,50,7,57.1
145,"Kristensen, Kasper",STA,10,2,1,3,4,2,0,0,0,0,0,15,13.3,4,50
145,"Rustad, Even",JAR,12,2,1,3,-18,0,1,0,0,0,0,20,10,210,44.8
145,"Frogner-Kyvik, Sebastian",MAN,11,1,2,3,-4,8,0,1,0,0,0,24,4.2,2,50
145,"Pirons, Tomass",STA,12,1,2,3,7,4,0,0,0,0,0,19,5.3,0,0
145,"Wallace, Christoffer André",LØR,13,0,3,3,-2,6,0,0,0,0,0,7,0,0,0
145,"Cellerosi, Viktor Kopperstad",STA,8,2,1,3,2,4,0,1,0,0,0,20,10,100,45
145,"Nilsen, Noah",VÅL,11,0,3,3,1,2,0,0,0,1,0,21,0,7,28.6
145,"Knap, Johan Feragen",MAN,7,1,2,3,-3,2,0,0,0,0,0,4,25,1,100
145,"Krumins, Rodrigo",LIL,13,1,2,3,-5,0,0,0,0,0,0,10,10,104,35.6
173,"Hauge, Sverre",STJ,13,0,2,2,2,27,0,0,0,0,0,7,0,0,0
173,"Barzda, Kristupas",VÅL,8,2,0,2,1,4,0,0,0,0,1,15,13.3,0,0
173,"Bore, Mats Ji-Seong Worren",MAN,10,1,1,2,-8,2,0,0,0,0,0,10,10,45,44.4
173,"Setsaas, Edvard William",NID,10,1,1,2,-11,2,0,0,0,0,0,7,14.3,2,50
173,"Dimitriev-Jensen, Nikolai Georg",STO,2,1,1,2,1,0,0,1,0,0,0,4,25,0,0
173,"Cao, Chunyang Noah",NID,10,1,1,2,-4,8,1,0,0,0,0,7,14.3,0,0
173,"Roca Guinovart, Josep",VÅL,1,1,1,2,2,0,0,0,0,0,0,2,50,0,0
173,"Offenberg, Axel William",STJ,12,0,2,2,5,0,0,0,0,0,0,13,0,0,0
173,"Lysholm, Chris Wikdahl",NID,3,1,1,2,1,0,0,1,0,0,0,13,7.7,1,0
173,"Pedersen, Sebastian Candell",JAR,9,0,2,2,-7,2,0,0,0,0,0,16,0,0,0
173,"Walberg, Lucas Pettersen",SPA,11,1,1,2,-13,2,1,1,0,0,0,13,7.7,121,46.3
173,"Ilseng, Kevin",VÅL,4,0,2,2,3,2,0,0,0,0,0,5,0,0,0
173,"Johansen, Ludvik Jordet",LØR,11,0,2,2,-6,6,0,0,0,0,0,13,0,0,0
173,"Kregnes, Markus",NID,10,2,0,2,-13,6,0,0,0,0,0,11,18.2,0,0
173,"Helgesen, Adrian Solgaard",SPA,11,0,2,2,-4,33,0,0,0,0,0,7,0,0,0
173,"Guimaraes, Bernardo Olav Wadstrand",JAR,10,1,1,2,-25,0,1,1,0,0,0,10,10,84,42.9
173,"Rotegård, Oscar Sanne",MAN,10,0,2,2,-6,2,0,0,0,0,0,2,0,0,0
173,"Karjalainen-Albertsen, Oliver",NID,10,0,2,2,-12,4,0,1,0,0,0,11,0,0,0
173,"Hole-Videsjorden, Even",MAN,6,0,2,2,-4,4,0,0,0,0,0,6,0,2,100
173,"Skaar, Trym",JAR,8,1,1,2,-13,8,0,0,0,0,0,9,11.1,0,0
173,"Larsen, Markus Solvang",LIL,4,1,1,2,0,0,0,0,0,0,0,6,16.7,1,0
173,"Juntti, Jesper Alexandersen",STO,2,0,2,2,3,0,0,0,0,0,0,1,0,0,0
173,"Hågensen, William Burhol",LØR,10,0,2,2,1,4,0,1,0,0,0,2,0,0,0
173,"Bustgaard, Alexander",VÅL,2,1,1,2,2,0,0,0,0,0,0,6,16.7,4,50
173,"Svalastog, Even Wettre",LIL,10,0,2,2,-5,12,0,0,0,0,0,10,0,1,100
173,"Bøe, Melvin René Skjeltorp",SPA,2,1,1,2,-2,0,0,1,0,0,0,5,20,0,0
173,"Skaug, Aksel",VÅL,5,1,1,2,3,0,0,0,0,0,0,4,25,5,40
173,"Kaarbø, Erik",LIL,11,1,1,2,-9,8,1,1,0,0,0,9,11.1,21,47.6
173,"Thorsvik, Sander Bergundhaugen",STA,6,1,1,2,3,2,0,0,0,0,0,10,10,46,54.3
173,"Platou, Sigurd Kvåle",JAR,13,0,2,2,-19,14,0,0,0,0,0,9,0,2,50
173,"Odden, Jørgen Tanum",JAR,10,2,0,2,-23,16,0,0,0,0,0,24,8.3,163,33.7
173,"Haugbro, Heine Tverberg",MAN,4,0,2,2,5,4,0,0,0,0,0,7,0,1,0
173,"Berntsen, Lukas Melien",LØR,8,1,1,2,1,0,0,0,0,0,0,5,20,44,52.3
173,"Olasveengen, Mikael Nyland",STO,1,0,2,2,1,0,0,2,0,0,0,0,0,12,58.3
173,"Hervik, Rasmus Olaisen",JAR,12,1,1,2,-13,12,0,0,0,0,0,5,20,1,0
173,"Wålberg, Jonathan",LIL,8,2,0,2,-1,0,0,0,0,0,0,20,10,10,30
173,"Karlsen, Leander Slind",NID,4,0,2,2,-2,4,0,1,0,0,0,7,0,0,0
173,"Meltveit, Thor-Samuel Rodriguez",KON,3,1,1,2,-2,0,0,0,0,0,0,1,100,0,0
173,"Strandem, Henning",LØR,11,1,1,2,2,4,0,0,0,0,0,11,9.1,0,0
173,"Karfjell, Karl Emil Fiskvik",KON,9,0,2,2,4,6,0,0,0,0,0,5,0,0,0
173,"Wilhelmsen, Theo",NID,6,1,1,2,-2,6,0,0,0,0,0,10,10,99,43.4
173,"Forsberg, Jonas Sætre",LØR,4,0,2,2,0,8,0,0,0,0,0,5,0,44,52.3
173,"Skavhaug, Kornelius Andersen",JAR,13,1,1,2,-15,16,0,0,0,0,0,18,5.6,10,20
216,"Bryni, Joakim Tørmo",STJ,6,1,0,1,2,0,0,0,0,0,0,3,33.3,2,0
216,"Olsen, Mats Sund",LØR,7,0,1,1,0,0,0,0,0,0,0,0,0,35,42.9
216,"Aatlo, Axel Gunnar",JAR,6,0,1,1,-9,0,0,1,0,0,0,6,0,0,0
216,"Hildén, Jonas Westlye",STA,2,0,1,1,1,2,0,0,0,0,0,0,0,1,100
216,"Coard, Mattias Sebastian",KON,10,0,1,1,2,6,0,0,0,0,0,11,0,0,0
216,"Otterlei, Sean-Nikolai Coloma",VÅL,3,1,0,1,0,0,0,0,0,0,0,6,16.7,0,0
216,"Nergård, Berge",VÅL,1,1,0,1,1,0,0,0,0,0,0,1,100,0,0
216,"Blyverket, Mio Bergh",LIL,13,0,1,1,-5,2,0,0,0,0,0,9,0,0,0
216,"Solvang, Fredrik Irgens",JAR,5,0,1,1,-8,6,0,0,0,0,0,6,0,66,43.9
216,"Bråthen, Niklas",STO,9,1,0,1,-1,4,0,0,0,0,0,20,5,1,0
216,"Torstensen, Magnus Langdalen",KON,8,0,1,1,-5,0,0,0,0,0,0,1,0,0,0
216,"Forstrøm, Vegar Magne",VÅL,11,0,1,1,4,4,0,0,0,0,0,9,0,0,0
216,"Hasund, Frithjof",VÅL,4,0,1,1,3,0,0,0,0,0,0,6,0,64,43.8
216,"Bjønnes, Victor Sangiorgio",SPA,1,0,1,1,1,0,0,0,0,0,0,3,0,14,50
216,"Brevik, Aksel",SPA,9,0,1,1,-6,2,0,0,0,0,0,11,0,0,0
216,"Wilberg, Noah Kvarme",NID,10,0,1,1,-8,0,0,0,0,0,0,5,0,2,0
216,"Skjellet, Rasmus Fjærgård",STO,1,0,1,1,3,0,0,0,0,0,0,5,0,0,0
216,"Nielsen, Filip Mains",LØR,3,0,1,1,2,0,0,0,0,0,0,3,0,6,50
216,"Gran, Eskil",VÅL,3,0,1,1,1,0,0,0,0,0,0,3,0,24,33.3
216,"Music, Sanin",NID,10,0,1,1,-10,6,0,0,0,0,0,3,0,0,0
216,"Ulset, Lavrans Vold",FRI,1,1,0,1,1,2,0,0,0,0,0,1,100,15,66.7
216,"Robertsson, Isak Halvari",FRI,1,1,0,1,2,0,0,0,0,0,0,1,100,0,0
216,"Westergård, Sondre Bjørkum",LIL,3,0,1,1,-5,2,0,0,0,0,0,5,0,14,28.6
216,"Grinden, Storm René",KON,2,1,0,1,-1,4,0,0,0,0,0,1,100,0,0
216,"Sveum, Mika",STJ,5,1,0,1,-1,0,0,0,0,0,1,3,33.3,0,0
216,"Vestre, Joakim",LIL,3,0,1,1,1,0,0,0,0,0,0,4,0,4,0
216,"Agnalt, Oliver Borchgrevink",STO,8,1,0,1,10,4,0,0,0,0,0,5,20,0,0
216,"Arnesen, Lucas Marensius",STJ,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0
216,"Andresen, Adrian Escoto",LØR,1,1,0,1,1,2,0,0,0,0,0,6,16.7,3,100
216,"Kristensen, William",JAR,7,1,0,1,-11,4,0,0,0,0,0,11,9.1,3,0
216,"Lunde, Philip Haugen",LIL,13,0,1,1,-10,31,0,1,0,0,0,14,0,1,0
216,"Fenner, Christopher Gjelstad",VÅL,3,1,0,1,0,2,0,0,0,0,0,4,25,0,0
216,"Volla, Oliver Marken",STO,9,0,1,1,5,2,0,0,0,0,0,9,0,0,0
216,"Muzik, Matej",MAN,4,1,0,1,-2,0,0,0,0,0,0,3,33.3,33,48.5
216,"Hadland, Matheo",LIL,11,0,1,1,-11,6,0,0,0,0,0,14,0,196,44.4
216,"Michelet, Henrik",JAR,2,0,1,1,-3,0,0,1,0,0,0,1,0,0,0
216,"Eid, Jakob Marinius Bredland",JAR,8,1,0,1,-7,0,0,0,0,0,0,5,20,1,100
216,"Kristiansen, Jonathan Lund",KON,7,1,0,1,-4,39,0,0,0,0,0,12,8.3,2,0
216,"Østberg, Emil",KON,9,0,1,1,4,0,0,0,0,0,0,8,0,0,0
216,"Moe, Philip Aagesen",KON,11,0,1,1,0,0,0,0,0,0,0,7,0,2,100
256,"Rosales Casillas, Manel",JAR,3,0,0,0,-5,2,0,0,0,0,0,4,0,1,100
256,"Nürnberg, William",JAR,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
256,"Sandtangen, Leo",SPA,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0
256,"Brauska, Mark",JAR,13,0,0,0,-22,2,0,0,0,0,0,11,0,1,100
256,"Berg, Sondre",STO,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
256,"Jerpseth, Markus Rossvoll",LØR,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
256,"Fristedt, Liam Valentin",KON,5,0,0,0,-1,0,0,0,0,0,0,3,0,0,0
256,"Ohrstrand, Elias Ommedal",STO,1,0,0,0,-2,2,0,0,0,0,0,2,0,2,0
256,"du, Yan",NID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,"Figueroa-Ørsnes, Rayco Alexander",NID,2,0,0,0,-1,4,0,0,0,0,0,0,0,0,0
